시군구명,남자_2030,여자_2030,전체_2030,여성비율,여초_차이
강남구,5601.902701828738,6805.013509469697,12406.916211298434,0.5450766027695895,1203.1108076409587
강동구,3372.8370360048575,3815.26766857797,7188.104704582826,0.5293688108005615,442.4306325731127
강북구,2559.1005486076083,2938.4864768617767,5497.5870254693855,0.5343502965759606,379.38592825416845
강서구,3940.0340974442165,4495.506226446949,8435.540323891166,0.5329318279771633,555.4721290027322
관악구,4629.337463073554,4476.070799499089,9105.408262572642,0.49777503838796866,-153.2666635744644
광진구,4040.5555981071643,4681.5832534471765,8722.138851554342,0.533819732550378,641.0276553400121
구로구,3692.6698104690345,3986.935068955677,7679.604879424712,0.5164434970106432,294.2652584866424
금천구,3890.698388253643,3698.8094990186705,7589.5078872723125,0.49841384655302245,-191.88888923497268
노원구,3082.2009292649313,3345.578477266082,6427.779406531013,0.5214715648477316,263.3775480011504
도봉구,2116.9216856963963,2390.217172701991,4507.138858398386,0.5269677541622132,273.2954870055946
동대문구,3990.2952691663418,4752.092497295407,8742.387766461748,0.5410918072629992,761.7972281290658
동작구,4269.127032996356,4523.625690124469,8792.752723120826,0.5203606415029483,254.49865712811172
마포구,4760.1903541026295,6222.441283432947,10982.631637535575,0.5632281114255194,1462.2509293303165
서대문구,3964.923612314598,5476.742856716758,9441.666469031356,0.5594150056064755,1511.8192444021597
서초구,4529.633445992714,5246.411046694748,9776.044492687462,0.5323106112849645,716.7776007020341
성동구,3351.47980651184,3876.2621780081427,7227.741984519983,0.5377629149032451,524.7823714963034
성북구,2946.1623713262748,3556.5585458959476,6502.720917222223,0.5477516268819815,610.3961745696722
송파구,3693.957626446232,4359.369602213621,8053.327228659853,0.5384485712241057,665.4119757673885
양천구,2184.5312623773025,2478.4287721222927,4662.960034499595,0.5269120113075211,293.8975097449909
영등포구,4517.2810099714125,5073.467893330045,9590.748903301457,0.5241964771827754,556.1868833586318
용산구,2896.977666779087,3437.5191707308745,6334.496837509962,0.5370692260771532,540.5415039517874
은평구,3211.9862382599044,3909.1618146872156,7121.14805294712,0.5453150968656847,697.1755764273111
종로구,2626.836346377103,3227.5864825002677,5854.422828877371,0.5355571034662416,600.7501361231651
중구,3049.5531368700667,3742.9490091438984,6792.502146013965,0.5439916736495601,693.3958722738312
중랑구,2769.472752517361,3112.566274045139,5882.0390265625,0.527078264924873,343.0935215277778
